Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Total_MarkDown
1,2010-02-05,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,False,0.0
1,2010-02-12,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,True,0.0
1,2010-02-19,39.93,2.514,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,False,0.0
1,2010-02-26,46.63,2.561,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,False,0.0
1,2010-03-05,46.5,2.625,0.0,0.0,0.0,0.0,0.0,211.3501429,8.106,False,0.0
1,2010-03-12,57.79,2.667,0.0,0.0,0.0,0.0,0.0,211.3806429,8.106,False,0.0
1,2010-03-19,54.58,2.72,0.0,0.0,0.0,0.0,0.0,211.215635,8.106,False,0.0
1,2010-03-26,51.45,2.732,0.0,0.0,0.0,0.0,0.0,211.0180424,8.106,False,0.0
1,2010-04-02,62.27,2.719,0.0,0.0,0.0,0.0,0.0,210.8204499,7.808,False,0.0
1,2010-04-09,65.86,2.77,0.0,0.0,0.0,0.0,0.0,210.6228574,7.808,False,0.0
1,2010-04-16,66.32,2.808,0.0,0.0,0.0,0.0,0.0,210.4887,7.808,False,0.0
1,2010-04-23,64.84,2.795,0.0,0.0,0.0,0.0,0.0,210.4391228,7.808,False,0.0
1,2010-04-30,67.41,2.78,0.0,0.0,0.0,0.0,0.0,210.3895456,7.808,False,0.0
1,2010-05-07,72.55,2.835,0.0,0.0,0.0,0.0,0.0,210.3399684,7.808,False,0.0
1,2010-05-14,74.78,2.854,0.0,0.0,0.0,0.0,0.0,210.3374261,7.808,False,0.0
1,2010-05-21,76.44,2.826,0.0,0.0,0.0,0.0,0.0,210.6170934,7.808,False,0.0
1,2010-05-28,80.44,2.759,0.0,0.0,0.0,0.0,0.0,210.8967606,7.808,False,0.0
1,2010-06-04,80.69,2.705,0.0,0.0,0.0,0.0,0.0,211.1764278,7.808,False,0.0
1,2010-06-11,80.43,2.668,0.0,0.0,0.0,0.0,0.0,211.4560951,7.808,False,0.0
1,2010-06-18,84.11,2.637,0.0,0.0,0.0,0.0,0.0,211.4537719,7.808,False,0.0
1,2010-06-25,84.34,2.653,0.0,0.0,0.0,0.0,0.0,211.3386526,7.808,False,0.0
1,2010-07-02,80.91,2.669,0.0,0.0,0.0,0.0,0.0,211.2235333,7.787,False,0.0
1,2010-07-09,80.48,2.642,0.0,0.0,0.0,0.0,0.0,211.108414,7.787,False,0.0
1,2010-07-16,83.15,2.623,0.0,0.0,0.0,0.0,0.0,211.1003854,7.787,False,0.0
1,2010-07-23,83.36,2.608,0.0,0.0,0.0,0.0,0.0,211.2351443,7.787,False,0.0
1,2010-07-30,81.84,2.64,0.0,0.0,0.0,0.0,0.0,211.3699032,7.787,False,0.0
1,2010-08-06,87.16,2.627,0.0,0.0,0.0,0.0,0.0,211.5046621,7.787,False,0.0
1,2010-08-13,87.0,2.692,0.0,0.0,0.0,0.0,0.0,211.6394211,7.787,False,0.0
1,2010-08-20,86.65,2.664,0.0,0.0,0.0,0.0,0.0,211.6033633,7.787,False,0.0
1,2010-08-27,85.22,2.619,0.0,0.0,0.0,0.0,0.0,211.5673056,7.787,False,0.0
1,2010-09-03,81.21,2.577,0.0,0.0,0.0,0.0,0.0,211.5312479,7.787,False,0.0
1,2010-09-10,78.69,2.565,0.0,0.0,0.0,0.0,0.0,211.4951902,7.787,True,0.0
1,2010-09-17,82.11,2.582,0.0,0.0,0.0,0.0,0.0,211.5224596,7.787,False,0.0
1,2010-09-24,80.94,2.624,0.0,0.0,0.0,0.0,0.0,211.5972246,7.787,False,0.0
1,2010-10-01,71.89,2.603,0.0,0.0,0.0,0.0,0.0,211.6719895,7.838,False,0.0
1,2010-10-08,63.93,2.633,0.0,0.0,0.0,0.0,0.0,211.7467544,7.838,False,0.0
1,2010-10-15,67.18,2.72,0.0,0.0,0.0,0.0,0.0,211.8137436,7.838,False,0.0
1,2010-10-22,69.86,2.725,0.0,0.0,0.0,0.0,0.0,211.8612937,7.838,False,0.0
1,2010-10-29,69.64,2.716,0.0,0.0,0.0,0.0,0.0,211.9088438,7.838,False,0.0
1,2010-11-05,58.74,2.689,0.0,0.0,0.0,0.0,0.0,211.9563939,7.838,False,0.0
1,2010-11-12,59.61,2.728,0.0,0.0,0.0,0.0,0.0,212.003944,7.838,False,0.0
1,2010-11-19,51.41,2.771,0.0,0.0,0.0,0.0,0.0,211.8896737,7.838,False,0.0
1,2010-11-26,64.52,2.735,0.0,0.0,0.0,0.0,0.0,211.7484333,7.838,True,0.0
1,2010-12-03,49.27,2.708,0.0,0.0,0.0,0.0,0.0,211.607193,7.838,False,0.0
1,2010-12-10,46.33,2.843,0.0,0.0,0.0,0.0,0.0,211.4659526,7.838,False,0.0
1,2010-12-17,49.84,2.869,0.0,0.0,0.0,0.0,0.0,211.4053124,7.838,False,0.0
1,2010-12-24,52.33,2.886,0.0,0.0,0.0,0.0,0.0,211.4051222,7.838,False,0.0
1,2010-12-31,48.43,2.943,0.0,0.0,0.0,0.0,0.0,211.4049321,7.838,True,0.0
1,2011-01-07,48.27,2.976,0.0,0.0,0.0,0.0,0.0,211.4047419,7.742,False,0.0
1,2011-01-14,35.4,2.983,0.0,0.0,0.0,0.0,0.0,211.4574109,7.742,False,0.0
1,2011-01-21,44.04,3.016,0.0,0.0,0.0,0.0,0.0,211.8272343,7.742,False,0.0
1,2011-01-28,43.83,3.01,0.0,0.0,0.0,0.0,0.0,212.1970577,7.742,False,0.0
1,2011-02-04,42.27,2.989,0.0,0.0,0.0,0.0,0.0,212.5668812,7.742,False,0.0
1,2011-02-11,36.39,3.022,0.0,0.0,0.0,0.0,0.0,212.9367046,7.742,True,0.0
1,2011-02-18,57.36,3.045,0.0,0.0,0.0,0.0,0.0,213.2478853,7.742,False,0.0
1,2011-02-25,62.9,3.065,0.0,0.0,0.0,0.0,0.0,213.535609,7.742,False,0.0
1,2011-03-04,59.58,3.288,0.0,0.0,0.0,0.0,0.0,213.8233327,7.742,False,0.0
1,2011-03-11,53.56,3.459,0.0,0.0,0.0,0.0,0.0,214.1110564,7.742,False,0.0
1,2011-03-18,62.76,3.488,0.0,0.0,0.0,0.0,0.0,214.3627114,7.742,False,0.0
1,2011-03-25,69.97,3.473,0.0,0.0,0.0,0.0,0.0,214.5999389,7.742,False,0.0
